INFO 2025-03-19 22:29:24,651 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-19 22:29:24,793 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\backends\mysql\base.py first seen with mtime 1742313111.7028592
DEBUG 2025-03-19 22:29:24,793 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\ipaddress.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,794 autoreload File D:\MySQL\.venv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1742313111.8142664
DEBUG 2025-03-19 22:29:24,795 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\argparse.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,795 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\ctypes\_endian.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,796 autoreload File D:\MySQL\.venv\Lib\site-packages\MySQLdb\constants\FIELD_TYPE.py first seen with mtime 1742314828.8253088
DEBUG 2025-03-19 22:29:24,796 autoreload File D:\MySQL\.venv\Lib\site-packages\django\shortcuts.py first seen with mtime 1742313110.338841
DEBUG 2025-03-19 22:29:24,797 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1742313111.7411025
DEBUG 2025-03-19 22:29:24,797 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1742313111.4869025
DEBUG 2025-03-19 22:29:24,798 autoreload File D:\MySQL\.venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1742313110.338841
DEBUG 2025-03-19 22:29:24,798 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\backends\mysql\operations.py first seen with mtime 1742313111.7062602
DEBUG 2025-03-19 22:29:24,799 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1742313111.653346
DEBUG 2025-03-19 22:29:24,799 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1742313110.824526
